store_name,mall,owner_group,unit,level,scope_of_business,raw_category,subcategory,is_fnb,is_halal,description,website,source
6 Elements Hair Spa,Sengkang Grand Mall,CapitaLand,02-07,02,Beauty & Wellness,Beauty & Wellness,Beauty Treatment & Spa,False,False,"6 Elements Hair Spa is a one-stop destination for hair and scalp healthcare. Utilizing more than 100 western herbs and botanical, these excellent treatments prevent various hair and scalp problems from occurring.",,capitaland-api
Jean Yip Hairdressing and 6 Elements Hair Spa,Sengkang Grand Mall,CapitaLand,02-07,02,Beauty & Wellness,Beauty & Wellness,Beauty Treatment & Spa,False,False,"With a strong team of advanced and experienced stylists, Jean Yip gets you out of any pesky situation to achieve enviable locks with our hair and beauty treatments, mani-pedi and coloring services.",,capitaland-api
Minmed Clinic,Sengkang Grand Mall,CapitaLand,02-13,02,Services,Services,Clinic & Pharmacy,False,False,"Minmed Clinic offers a range of affordable, quality primary healthcare services to individuals and families.",,capitaland-api
NK Robotics,Sengkang Grand Mall,CapitaLand,02-15,02,Kids & Children,Children,Enrichment & Play Centres,False,False,nrichment Center for Robotics and Coding,,capitaland-api
Fragrance,Sengkang Grand Mall,CapitaLand,b1-02,B1,Food & Beverage,Food & Beverage,"Chocolates, Candies & Delicatessen",True,False,Fragrance Bak Kwa is 100% locally produced with no preservatives added. Fresh whole lean pork leg is used & marinated with 18 different traditional herbs to bring out the unique flavour of our Bak Kwa. Enjoy fragrance in every bite of this delicatessen.,,capitaland-api
My Digital Lock,Sengkang Grand Mall,CapitaLand,b1-06,B1,"Department, Value & Outlet",Outlet,,False,False,"Get the Best Digital Lock, Nicest HDB Door and Gate only at My Digital Lock",,capitaland-api
FUJIFILM,Sengkang Grand Mall,CapitaLand,b1-07,B1,"Department, Value & Outlet",Outlet,,False,False,"From cutting-edge digital SLR pro-level models to fashion-conscious point-and-shoot compacts, there's a Fujifilm FinePix digital camera to satisfy every kind of photographer.",,capitaland-api
kcuts,Sengkang Grand Mall,CapitaLand,b1-11,B1,Beauty & Wellness,Beauty & Wellness,Beauty Treatment & Spa,False,False,"Looking for Korean hairdressers in Singapore? At Kcuts, our professionally trained Korean stylists provide quality haircuts, all within 10 minutes!",,capitaland-api
SWEE HENG 1989 Classic,Sengkang Grand Mall,CapitaLand,b1-13,B1,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,"Swee Heng 1989 Classic is an upgrade of the original Swee Heng Bakery brand, one of the leading halal bakeries in Singapore. Launched in 2014, we have opened a total of 23 outlets and 1 bakery cafes islandwide. Holding on to the same promise made by Swee Heng Bakery, sharing our baking passion to all communities. Till now, we remain committed in using the finest ingredients gathered around the world to produce good quality and affordable products.&nbsp; Our vision is to become “Bakery of People, Bread for life”. We strive hard to make Swee Heng the Singapore Bakery that serves all communities.",,capitaland-api
FairPrice Finest,Sengkang Grand Mall,CapitaLand,b1-14,B1,Supermarket & Convenience,Supermarket & Specialty Mart,,False,False,"At Fairprice Finest, enjoy a variety of exquisite treats that excites every taste bud. From delis, wines and carefully hand selected exotic seafood to organic items, it satisfies all discerning palates.",,capitaland-api
Syoujin,Sengkang Grand Mall,CapitaLand,01-33,01,Beauty & Wellness,Beauty & Wellness,,False,False,"Syoujin integrates the excellent customer service of the Japanese culture and the wisdom & knowledge of Traditional Chinese Medicine (TCM) in the services to our guests. Let our highly skilled therapists specially craft out your needs to relax, revive and rejuvenate your body, soul and mind.",,capitaland-api
AGrader Learning Centre,Sengkang Grand Mall,CapitaLand,02-04,02,Kids & Children,Children,Enrichment & Play Centres,False,False,AGrader Learning Centre,,capitaland-api
MindChamps PreSchool,Sengkang Grand Mall,CapitaLand,02-05,02,Kids & Children,Children,Enrichment & Play Centres,False,False,MindChamps PreSchool,,capitaland-api
QIN JI ROUGAMO,Sengkang Grand Mall,CapitaLand,01-37,01,Food & Beverage,Food & Beverage,Food Kiosk & Light Bites,True,False,QIN JI ROUGAMO,,capitaland-api
X’treme Professional Hair Studio,Sengkang Grand Mall,CapitaLand,01-45,01,Beauty & Wellness,Beauty & Wellness,Beauty Treatment & Spa,False,False,X’treme Professional Hair Studio,,capitaland-api
Advanced Dental,Sengkang Grand Mall,CapitaLand,02-12,02,Beauty & Wellness,Beauty & Wellness,Health & Personal Care,False,False,Advanced Dental,,capitaland-api
Nail Bliss,Sengkang Grand Mall,CapitaLand,01-43,01,Beauty & Wellness,Beauty & Wellness,Beauty Treatment & Spa,False,False,Nail Bliss,,capitaland-api
Japan IPL EXPRESS,Sengkang Grand Mall,CapitaLand,01-75,01,Beauty & Wellness,Beauty & Wellness,,False,False,"<div>Hair Removal, Skin Solution</div><div><br></div><div>As Singapore's first unisex IPL salon, Japan IPL Express is committed to offering the most effective and convenient IPL services dedicated to customers' needs and wants: ""No Packages, No Appointments"" — that's our modus operandi. We do not do packages nor appointments, customers are charge by per-shots basis and you are able to utilise the IPL Shots on any areas you want anytime! There is no need to call ahead or arrange your schedule around appointments. Come when you want, and get what you want: You Call The Shots™!</div>",,capitaland-api
ORGANIC WAY SALON,Sengkang Grand Mall,CapitaLand,01-42,01,Beauty & Wellness,Beauty & Wellness,,False,False,ORGANIC WAY SALON,,capitaland-api
Kids Clinic @ Sengkang,Sengkang Grand Mall,CapitaLand,02-14,02,Services,Services,Clinic & Pharmacy,False,False,"<div>Get comprehensive paediatric care for your little ones at Kids Clinic @ Sengkang. Wide range of services and a friendly environment for your child's comfort.</div><div><br></div><div><b><u>Operating Hours</u></b></div><div>• Mon &amp; Fri: 9am – 12.30pm, 2pm – 4.30pm</div><div>•&nbsp;Tue: 9am – 12.30pm, 2pm – 4.30pm, 6.30pm – 8.30pm</div><div>• Wed: 9am – 12.30pm, 2pm – 4.30pm, 6.30pm – 8.30pm</div><div>• Thu: 9am – 12.30pm, 2pm – 4.30pm</div><div>• Sat: 9am – 12.30pm</div><div>• Sun &amp; PH: Closed</div>",,capitaland-api
XIANG XIANG HUNAN CUISINE 湘香·湖南菜,Sengkang Grand Mall,CapitaLand,01-32,01,Food & Beverage,Food & Beverage,Restaurant,True,False,XIANG XIANG HUNAN CUISINE 湘香·湖南菜,,capitaland-api
iORA,Sengkang Grand Mall,CapitaLand,"01-51, 01-52",01,Fashion & Accessories,Fashion,Bags & Shoes,False,False,"Singapore’s authentic fashion brand, Iora, offers a wide variety of stylish women's wear for every season. We strive to provide our shoppers with supreme quality & diverse product ranges that are chic yet pocket-friendly.",,capitaland-api
Kenny Rogers ROASTERS,Sengkang Grand Mall,CapitaLand,01-60,01,Food & Beverage,Food & Beverage,Restaurant,True,False,Kenny Rogers ROASTERS,,capitaland-api
Fresh and Clean,Sengkang Grand Mall,CapitaLand,b1-08,B1,Services,Services,,False,False,Fresh and Clean,,capitaland-api
TSUJIRI,Sengkang Grand Mall,CapitaLand,01-57,01,Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,TSUJIRI,,capitaland-api
The Ballet & Music Company,Sengkang Grand Mall,CapitaLand,"02-19, 02-20",02,"Hobbies, Leisure & Entertainment",Hobbies & Leisure,,False,False,The Ballet & Music Company,,capitaland-api
Mayer,Sengkang Grand Mall,CapitaLand,01-31,01,,,,False,False,"Mayer, a lifestyle home boutique store, showcases the world's finest kitchen brands. Our kitchen appliances are synonymous with high performance, premium quality & durability & promise to enhance any beautiful home with their functional beauty.",,capitaland-api
PlayMade,Sengkang Grand Mall,CapitaLand,01-67,01,Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,PlayMade,,capitaland-api
Chewy Junior,Sengkang Grand Mall,CapitaLand,01-13,01,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,"Chewy Junior is a bakery with extraordinary cream puffs. It's crispy on the outside, yet soft & chewy on the inside, making it perfect to munch on! With so many delicious flavours to choose from, you'll be spoilt for choice at Chewy Junior!",,capitaland-api
Twyst,Sengkang Grand Mall,CapitaLand,01-05,01,Food & Beverage,Food & Beverage,Food Kiosk & Light Bites,True,False,"Sinfully good pasta at half the guilt. Twyst is a playful take on the word “twist”, alluding to a menu that is curated by its executive chefs using unique ingredients in its pasta sauces, while offering well-loved Italian favorites such as Aglio Olio, Pomodoro, Alfredo and handcrafted paninis.",,capitaland-api
Now Pizza,Sengkang Grand Mall,CapitaLand,01-01,01,Food & Beverage,Food & Beverage,,True,False,"We are Now Pizza, your fun and revolutionary grab-and-go pizza brand serving Neapolitan-style sourdough pizzas in just 90 seconds! Choose from 10 delectable flavours, all made with high-quality, fresh ingredients. Our pizzas are topped with Nonna-approved pomodoro sauce, European cheese and many other fun toppings. With expressive flavours, our express pizza will appeal not just to your authentic self, but also to your wallet. Most of our pizzas are priced below $10 so that's unbeatable! Everyone can enjoy a slice of the best sourdough pizzas in Singapore at Now Pizza!",,capitaland-api
Fresver,Sengkang Grand Mall,CapitaLand,01-59,01,Beauty & Wellness,Beauty & Wellness,Beauty Treatment & Spa,False,False,Fresver,,capitaland-api
COLLIN'S®,Sengkang Grand Mall,CapitaLand,01-20,01,Food & Beverage,Food & Beverage,,True,False,"Committed to making great Western food accessible to everyone, COLLIN’S® combines healthy cooking and great ingredients to serve up quality Western cuisine.",,capitaland-api
epitex HOME,Sengkang Grand Mall,CapitaLand,01-76,01,"Department, Value & Outlet",Outlet,,False,False,epitex HOME,,capitaland-api
Eu Yan Sang TCM Clinic,Sengkang Grand Mall,CapitaLand,02-06,02,Services,Services,Clinic & Pharmacy,False,False,Eu Yan Sang TCM Clinic provides a comprehensive range of traditional chinese medicine and therapies through experienced practitioners to bring about effective healing of the body.,,capitaland-api
Yale [The S&L House],Sengkang Grand Mall,CapitaLand,b1-09,B1,Services,Services,,False,False,"The S&L House provides good, accurate and reliable key cutting and key duplication service for most residential and commercial keys. Moreover, we showcase the latest digital locks from the world’s most trusted lock brand: Yale. So you and your families can enjoy a secure, convenient and smart opening solutions for your homes for today and years to come.",,capitaland-api
TOMORO COFFEE,Sengkang Grand Mall,CapitaLand,01-04,01,Food & Beverage,Food & Beverage,Food Kiosk & Light Bites,True,False,TOMORO COFFEE,,capitaland-api
Nailz Gallery,Sengkang Grand Mall,CapitaLand,b1-10,B1,Beauty & Wellness,Beauty & Wellness,Beauty Treatment & Spa,False,False,"Established in 2013, Nailz Gallery is a premier one-stop nail spa committed to offering a diverse range of cutting-edge beauty services, including manicures, pedicures, eyelash extensions, eyebrow embroidery, and rejuvenating spa treatments. With a strong emphasis on delivering high-quality, state-of-the-art care, Nailz Gallery is dedicated to enhancing the beauty, confidence, and well-being of each client.",,capitaland-api
An Acai Affair,Sengkang Grand Mall,CapitaLand,b1-01,B1,Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,"An Acai Affair offers açai made with a variety of the freshest ingredients encapsulating freshness with every bite. Visit our store at CapitaLand mall, Westgate today!",,capitaland-api
Compass Foreign Exchange,Sengkang Grand Mall,CapitaLand,01-64,01,Services,Services,,False,False,Compass Foreign Exchange,,capitaland-api
Chiropractic First The Spine & Nerve Clinic,Sengkang Grand Mall,CapitaLand,01-61,01,Services,Services,Clinic & Pharmacy,False,False,Chiropractic First The Spine & Nerve Clinic,,capitaland-api
Venus Beauty,Sengkang Grand Mall,CapitaLand,01-74,01,Beauty & Wellness,Beauty & Wellness,Cosmetics & Fragnances,False,False,"Venus Beauty offers top-quality beauty and cleaning products at unbeatable prices. Explore skincare, haircare, cosmetics, and household essentials all in one place. Enjoy a budget-friendly shopping experience where affordability meets excellence.",,capitaland-api
Valu$,Sengkang Grand Mall,CapitaLand,01-77,01,,,,False,False,Valu$ is a value dollar store that carries a range of lifestyle and home living value products ranging from hardware and cleaning products to beauty products and snacks.,,capitaland-api
Super Sushi,Sengkang Grand Mall,CapitaLand,b1-03,B1,Food & Beverage,Food & Beverage,,True,False,Super Sushi believes in serving fresh and delicious sushi,,capitaland-api
TALAD THAI BANANA,Sengkang Grand Mall,CapitaLand,01-02,01,Food & Beverage,Food & Beverage,Food Kiosk & Light Bites,True,False,TALAD THAI BANANA is an Authentic Thai recipe crafted with love. Our unique batter is made from the freshest ingredients prepared daily with love and good intentions. All products are vegetarian-friendly and in fresh batches daily.,,capitaland-api
Delibowl Express,Sengkang Grand Mall,CapitaLand,01-83,01,Food & Beverage,Food & Beverage,Restaurant,True,False,Delibowl Express,,capitaland-api
Yum Yum Tod Tod,Sengkang Grand Mall,CapitaLand,01-02,01,Food & Beverage,Food & Beverage,Food Kiosk & Light Bites,True,False,Yum Yum Tod Tod,,capitaland-api
